name	type	units	sampling_frequency	low_cutoff	high_cutoff	notch	description	software_filters	status	status_description
Fz	EEG	uV	500	0.1	100	50	n/a	n/a	good	n/a
FC3	EEG	uV	500	0.1	100	50	n/a	n/a	good	n/a
FC1	EEG	uV	500	0.1	100	50	n/a	n/a	good	n/a
FCz	EEG	uV	500	0.1	100	50	n/a	n/a	good	n/a
FC2	EEG	uV	500	0.1	100	50	n/a	n/a	good	n/a
FC4	EEG	uV	500	0.1	100	50	n/a	n/a	good	n/a
C3	EEG	uV	500	0.1	100	50	n/a	n/a	good	n/a
C1	EEG	uV	500	0.1	100	50	n/a	n/a	good	n/a
Cz	EEG	uV	500	0.1	100	50	n/a	n/a	good	n/a
C2	EEG	uV	500	0.1	100	50	n/a	n/a	good	n/a
C4	EEG	uV	500	0.1	100	50	n/a	n/a	bad	n/a
CP3	EEG	uV	500	0.1	100	50	n/a	n/a	good	n/a
CP1	EEG	uV	500	0.1	100	50	n/a	n/a	good	n/a
CPz	EEG	uV	500	0.1	100	50	n/a	n/a	good	n/a
CP2	EEG	uV	500	0.1	100	50	n/a	n/a	good	n/a
CP4	EEG	uV	500	0.1	100	50	n/a	n/a	good	n/a
TRIG1	TRIG	n/a	500	n/a	n/a	n/a	n/a	n/a	bad	n/a
TRIG2	TRIG	n/a	500	n/a	n/a	n/a	n/a	n/a	good	n/a
TRIG3	TRIG	n/a	500	n/a	n/a	n/a	n/a	n/a	good	n/a
STATUS	TRIG	n/a	500	n/a	n/a	n/a	n/a	n/a	good	n/a
