onset	duration	event_value	event_name
2327	500	62	sham_start
2729	1000	70	sham_peak
4339	500	82	illusion_start
4741	1000	90	illusion_peak
6853	500	82	illusion_start
7256	1000	90	illusion_peak
8865	500	82	illusion_start
9267	1000	90	illusion_peak
11882	500	62	sham_start
12285	1000	70	sham_peak
14397	500	62	sham_start
14799	1000	70	sham_peak
17415	500	62	sham_start
17817	1000	70	sham_peak
19929	500	82	illusion_start
20331	1000	90	illusion_peak
22444	500	62	sham_start
22846	1000	70	sham_peak
24455	500	62	sham_start
24858	1000	70	sham_peak
27473	500	82	illusion_start
27875	1000	90	illusion_peak
30490	500	82	illusion_start
30893	1000	90	illusion_peak
32502	500	82	illusion_start
32904	1000	90	illusion_peak
35520	500	82	illusion_start
35922	1000	90	illusion_peak
38034	500	62	sham_start
38436	1000	70	sham_peak
40046	500	82	illusion_start
40448	1000	90	illusion_peak
42057	500	62	sham_start
42460	1000	70	sham_peak
45075	500	62	sham_start
45477	1000	70	sham_peak
47590	500	82	illusion_start
47992	1000	90	illusion_peak
50104	500	62	sham_start
50507	1000	70	sham_peak
52116	500	82	illusion_start
52518	1000	90	illusion_peak
54128	500	62	sham_start
54530	1000	70	sham_peak
56642	500	62	sham_start
57044	1000	70	sham_peak
59660	500	82	illusion_start
60062	1000	90	illusion_peak
62677	500	62	sham_start
63079	1000	70	sham_peak
65695	500	82	illusion_start
66097	1000	90	illusion_peak
67706	500	82	illusion_start
68109	1000	90	illusion_peak
70221	500	82	illusion_start
70623	1000	90	illusion_peak
73238	500	62	sham_start
73641	1000	70	sham_peak
75753	500	62	sham_start
76155	1000	70	sham_peak
77765	500	62	sham_start
78167	1000	70	sham_peak
79776	500	82	illusion_start
80179	1000	90	illusion_peak
82794	500	62	sham_start
83196	1000	70	sham_peak
85308	500	82	illusion_start
85711	1000	90	illusion_peak
87320	500	82	illusion_start
87722	1000	90	illusion_peak
89835	500	62	sham_start
90237	1000	70	sham_peak
92852	500	82	illusion_start
93255	1000	90	illusion_peak
95367	500	62	sham_start
95769	1000	70	sham_peak
97378	500	82	illusion_start
97781	1000	90	illusion_peak
100396	500	62	sham_start
100798	1000	70	sham_peak
103413	500	62	sham_start
103816	1000	70	sham_peak
105928	500	82	illusion_start
106330	1000	90	illusion_peak
107940	500	82	illusion_start
108342	1000	90	illusion_peak
110957	500	82	illusion_start
111360	1000	90	illusion_peak
113472	500	62	sham_start
113874	1000	70	sham_peak
115483	500	62	sham_start
115886	1000	70	sham_peak
118501	500	62	sham_start
118903	1000	70	sham_peak
121016	500	82	illusion_start
121418	1000	90	illusion_peak
123027	500	82	illusion_start
123430	1000	90	illusion_peak
125039	500	82	illusion_start
125441	1000	90	illusion_peak
128056	500	62	sham_start
128459	1000	70	sham_peak
131074	500	82	illusion_start
131476	1000	90	illusion_peak
133588	500	62	sham_start
133991	1000	70	sham_peak
135600	500	62	sham_start
136002	1000	70	sham_peak
138115	500	82	illusion_start
138517	1000	90	illusion_peak
141132	500	82	illusion_start
141535	1000	90	illusion_peak
143144	500	82	illusion_start
143546	1000	90	illusion_peak
145659	500	62	sham_start
146061	1000	70	sham_peak
147670	500	62	sham_start
148073	1000	70	sham_peak
150688	500	62	sham_start
151090	1000	70	sham_peak
153202	500	62	sham_start
153605	1000	70	sham_peak
155717	500	82	illusion_start
156119	1000	90	illusion_peak
158231	500	62	sham_start
158634	1000	70	sham_peak
160243	500	82	illusion_start
160645	1000	90	illusion_peak
162255	500	82	illusion_start
162657	1000	90	illusion_peak
165272	500	62	sham_start
165675	1000	70	sham_peak
168290	500	62	sham_start
168692	1000	70	sham_peak
170301	500	62	sham_start
170704	1000	70	sham_peak
172816	500	82	illusion_start
173218	1000	90	illusion_peak
175834	500	82	illusion_start
176236	1000	90	illusion_peak
178348	500	82	illusion_start
178750	1000	90	illusion_peak
180360	500	62	sham_start
180762	1000	70	sham_peak
