onset	duration	event_value	event_name
3620	500	62	sham_start
4022	1000	70	sham_peak
6638	500	62	sham_start
7040	1000	70	sham_peak
8649	500	82	illusion_start
9052	1000	90	illusion_peak
11164	500	82	illusion_start
11566	1000	90	illusion_peak
13175	500	82	illusion_start
13578	1000	90	illusion_peak
16193	500	62	sham_start
16595	1000	70	sham_peak
18708	500	82	illusion_start
19110	1000	90	illusion_peak
20719	500	62	sham_start
21122	1000	70	sham_peak
22731	500	82	illusion_start
23133	1000	90	illusion_peak
25246	500	62	sham_start
25648	1000	70	sham_peak
27760	500	62	sham_start
28163	1000	70	sham_peak
30778	500	82	illusion_start
31180	1000	90	illusion_peak
33795	500	62	sham_start
34198	1000	70	sham_peak
36310	500	82	illusion_start
36712	1000	90	illusion_peak
38322	500	82	illusion_start
38724	1000	90	illusion_peak
41339	500	62	sham_start
41741	1000	70	sham_peak
43351	500	62	sham_start
43753	1000	70	sham_peak
46368	500	82	illusion_start
46771	1000	90	illusion_peak
48883	500	82	illusion_start
49285	1000	90	illusion_peak
50895	500	62	sham_start
51297	1000	70	sham_peak
52906	500	62	sham_start
53309	1000	70	sham_peak
55421	500	82	illusion_start
55823	1000	90	illusion_peak
58438	500	82	illusion_start
58841	1000	90	illusion_peak
60953	500	62	sham_start
61355	1000	70	sham_peak
63971	500	62	sham_start
64373	1000	70	sham_peak
66485	500	82	illusion_start
66887	1000	90	illusion_peak
69503	500	82	illusion_start
69905	1000	90	illusion_peak
72017	500	62	sham_start
72420	1000	70	sham_peak
75035	500	82	illusion_start
75437	1000	90	illusion_peak
77046	500	62	sham_start
77449	1000	70	sham_peak
79058	500	82	illusion_start
79460	1000	90	illusion_peak
81573	500	82	illusion_start
81975	1000	90	illusion_peak
84590	500	62	sham_start
84993	1000	70	sham_peak
87608	500	62	sham_start
88010	1000	70	sham_peak
90122	500	82	illusion_start
90525	1000	90	illusion_peak
92134	500	62	sham_start
92536	1000	70	sham_peak
94146	500	62	sham_start
94548	1000	70	sham_peak
96660	500	82	illusion_start
97063	1000	90	illusion_peak
99175	500	62	sham_start
99577	1000	70	sham_peak
101187	500	62	sham_start
101589	1000	70	sham_peak
104204	500	82	illusion_start
104607	1000	90	illusion_peak
107222	500	82	illusion_start
107624	1000	90	illusion_peak
109233	500	62	sham_start
109636	1000	70	sham_peak
111245	500	62	sham_start
111647	1000	70	sham_peak
114263	500	82	illusion_start
114665	1000	90	illusion_peak
116777	500	82	illusion_start
117180	1000	90	illusion_peak
118789	500	82	illusion_start
119191	1000	90	illusion_peak
121806	500	62	sham_start
122209	1000	70	sham_peak
124321	500	82	illusion_start
124723	1000	90	illusion_peak
126333	500	82	illusion_start
126735	1000	90	illusion_peak
128847	500	62	sham_start
129250	1000	70	sham_peak
131362	500	62	sham_start
131764	1000	70	sham_peak
133374	500	62	sham_start
133776	1000	70	sham_peak
136391	500	82	illusion_start
136793	1000	90	illusion_peak
139409	500	62	sham_start
139811	1000	70	sham_peak
141420	500	62	sham_start
141823	1000	70	sham_peak
144438	500	82	illusion_start
144840	1000	90	illusion_peak
146952	500	82	illusion_start
147355	1000	90	illusion_peak
148964	500	82	illusion_start
149366	1000	90	illusion_peak
151982	500	62	sham_start
152384	1000	70	sham_peak
154496	500	82	illusion_start
154899	1000	90	illusion_peak
156508	500	82	illusion_start
156910	1000	90	illusion_peak
159023	500	62	sham_start
159425	1000	70	sham_peak
161034	500	62	sham_start
161437	1000	70	sham_peak
163549	500	62	sham_start
163951	1000	70	sham_peak
166566	500	82	illusion_start
166969	1000	90	illusion_peak
169584	500	82	illusion_start
169986	1000	90	illusion_peak
171596	500	62	sham_start
171998	1000	70	sham_peak
174110	500	82	illusion_start
174513	1000	90	illusion_peak
177128	500	82	illusion_start
177530	1000	90	illusion_peak
179642	500	62	sham_start
180045	1000	70	sham_peak
182660	500	62	sham_start
183062	1000	70	sham_peak
