onset	duration	event_value	event_name
4295	500	62	sham_start
4700	1000	70	sham_peak
7330	500	62	sham_start
7735	1000	70	sham_peak
9354	500	82	illusion_start
9759	1000	90	illusion_peak
11883	500	82	illusion_start
12288	1000	90	illusion_peak
13907	500	82	illusion_start
14312	1000	90	illusion_peak
16942	500	62	sham_start
17347	1000	70	sham_peak
19472	500	82	illusion_start
19877	1000	90	illusion_peak
21496	500	62	sham_start
21900	1000	70	sham_peak
23519	500	82	illusion_start
23924	1000	90	illusion_peak
26049	500	62	sham_start
26453	1000	70	sham_peak
28578	500	62	sham_start
28983	1000	70	sham_peak
31613	500	82	illusion_start
32018	1000	90	illusion_peak
34649	500	62	sham_start
35054	1000	70	sham_peak
37178	500	82	illusion_start
37583	1000	90	illusion_peak
39202	500	82	illusion_start
39607	1000	90	illusion_peak
42237	500	62	sham_start
42642	1000	70	sham_peak
44261	500	62	sham_start
44666	1000	70	sham_peak
47296	500	82	illusion_start
47701	1000	90	illusion_peak
49826	500	82	illusion_start
50230	1000	90	illusion_peak
51849	500	62	sham_start
52254	1000	70	sham_peak
53873	500	62	sham_start
54278	1000	70	sham_peak
56402	500	82	illusion_start
56807	1000	90	illusion_peak
59438	500	82	illusion_start
59843	1000	90	illusion_peak
61967	500	62	sham_start
62372	1000	70	sham_peak
65003	500	62	sham_start
65407	1000	70	sham_peak
67532	500	82	illusion_start
67937	1000	90	illusion_peak
70568	500	82	illusion_start
70972	1000	90	illusion_peak
73097	500	62	sham_start
73502	1000	70	sham_peak
76132	500	82	illusion_start
76537	1000	90	illusion_peak
78156	500	62	sham_start
78561	1000	70	sham_peak
80180	500	82	illusion_start
80584	1000	90	illusion_peak
82709	500	82	illusion_start
83114	1000	90	illusion_peak
85744	500	62	sham_start
86149	1000	70	sham_peak
88780	500	62	sham_start
89185	1000	70	sham_peak
91309	500	82	illusion_start
91714	1000	90	illusion_peak
93333	500	62	sham_start
93738	1000	70	sham_peak
95357	500	62	sham_start
95761	1000	70	sham_peak
97886	500	82	illusion_start
98291	1000	90	illusion_peak
100416	500	62	sham_start
100820	1000	70	sham_peak
102439	500	62	sham_start
102844	1000	70	sham_peak
105474	500	82	illusion_start
105879	1000	90	illusion_peak
108510	500	82	illusion_start
108915	1000	90	illusion_peak
110533	500	62	sham_start
110938	1000	70	sham_peak
112557	500	62	sham_start
112962	1000	70	sham_peak
115592	500	82	illusion_start
115997	1000	90	illusion_peak
118122	500	82	illusion_start
118527	1000	90	illusion_peak
120146	500	82	illusion_start
120550	1000	90	illusion_peak
123181	500	62	sham_start
123586	1000	70	sham_peak
125710	500	82	illusion_start
126115	1000	90	illusion_peak
127734	500	82	illusion_start
128139	1000	90	illusion_peak
130263	500	62	sham_start
130668	1000	70	sham_peak
132793	500	62	sham_start
133198	1000	70	sham_peak
134817	500	62	sham_start
135221	1000	70	sham_peak
137852	500	82	illusion_start
138257	1000	90	illusion_peak
140887	500	62	sham_start
141292	1000	70	sham_peak
142911	500	62	sham_start
143316	1000	70	sham_peak
145946	500	82	illusion_start
146351	1000	90	illusion_peak
148476	500	82	illusion_start
148880	1000	90	illusion_peak
150499	500	82	illusion_start
150904	1000	90	illusion_peak
153535	500	62	sham_start
153939	1000	70	sham_peak
156064	500	82	illusion_start
156469	1000	90	illusion_peak
158088	500	82	illusion_start
158493	1000	90	illusion_peak
160617	500	62	sham_start
161022	1000	70	sham_peak
162641	500	62	sham_start
163046	1000	70	sham_peak
165170	500	62	sham_start
165575	1000	70	sham_peak
168206	500	82	illusion_start
168610	1000	90	illusion_peak
171241	500	82	illusion_start
171646	1000	90	illusion_peak
173265	500	62	sham_start
173669	1000	70	sham_peak
175794	500	82	illusion_start
176199	1000	90	illusion_peak
178830	500	82	illusion_start
179234	1000	90	illusion_peak
181359	500	62	sham_start
181764	1000	70	sham_peak
184394	500	62	sham_start
184799	1000	70	sham_peak
