onset	duration	event_value	event_name
8352	500	82	illusion_start
8757	1000	90	illusion_peak
11388	500	82	illusion_start
11792	1000	90	illusion_peak
13411	500	62	sham_start
13816	1000	70	sham_peak
15941	500	62	sham_start
16346	1000	70	sham_peak
17965	500	62	sham_start
18369	1000	70	sham_peak
21000	500	82	illusion_start
21405	1000	90	illusion_peak
23530	500	62	sham_start
23934	1000	70	sham_peak
26565	500	82	illusion_start
26970	1000	90	illusion_peak
28589	500	62	sham_start
28994	1000	70	sham_peak
31118	500	82	illusion_start
31523	1000	90	illusion_peak
33648	500	82	illusion_start
34053	1000	90	illusion_peak
36684	500	62	sham_start
37088	1000	70	sham_peak
38707	500	82	illusion_start
39112	1000	90	illusion_peak
41743	500	82	illusion_start
42148	1000	90	illusion_peak
43767	500	82	illusion_start
44171	1000	90	illusion_peak
46296	500	62	sham_start
46701	1000	70	sham_peak
48320	500	62	sham_start
48725	1000	70	sham_peak
50849	500	62	sham_start
51254	1000	70	sham_peak
53885	500	82	illusion_start
54290	1000	90	illusion_peak
56921	500	62	sham_start
57325	1000	70	sham_peak
58944	500	82	illusion_start
59349	1000	90	illusion_peak
61474	500	62	sham_start
61879	1000	70	sham_peak
64003	500	62	sham_start
64408	1000	70	sham_peak
67039	500	82	illusion_start
67444	1000	90	illusion_peak
69063	500	62	sham_start
69467	1000	70	sham_peak
72098	500	82	illusion_start
72503	1000	90	illusion_peak
74122	500	82	illusion_start
74527	1000	90	illusion_peak
77157	500	62	sham_start
77562	1000	70	sham_peak
79687	500	62	sham_start
80092	1000	70	sham_peak
81711	500	82	illusion_start
82115	1000	90	illusion_peak
84240	500	82	illusion_start
84645	1000	90	illusion_peak
86770	500	62	sham_start
87175	1000	70	sham_peak
89300	500	62	sham_start
89704	1000	70	sham_peak
92335	500	82	illusion_start
92740	1000	90	illusion_peak
94359	500	82	illusion_start
94763	1000	90	illusion_peak
97394	500	62	sham_start
97799	1000	70	sham_peak
99418	500	82	illusion_start
99823	1000	90	illusion_peak
101442	500	62	sham_start
101846	1000	70	sham_peak
104477	500	82	illusion_start
104882	1000	90	illusion_peak
107513	500	82	illusion_start
107917	1000	90	illusion_peak
110042	500	62	sham_start
110447	1000	70	sham_peak
112066	500	62	sham_start
112471	1000	70	sham_peak
114596	500	82	illusion_start
115000	1000	90	illusion_peak
117125	500	82	illusion_start
117530	1000	90	illusion_peak
119149	500	82	illusion_start
119554	1000	90	illusion_peak
122184	500	62	sham_start
122589	1000	70	sham_peak
125220	500	62	sham_start
125625	1000	70	sham_peak
127750	500	62	sham_start
128154	1000	70	sham_peak
129773	500	82	illusion_start
130178	1000	90	illusion_peak
131797	500	62	sham_start
132202	1000	70	sham_peak
133821	500	82	illusion_start
134225	1000	90	illusion_peak
136350	500	82	illusion_start
136755	1000	90	illusion_peak
139386	500	62	sham_start
139791	1000	70	sham_peak
141915	500	62	sham_start
142320	1000	70	sham_peak
144951	500	82	illusion_start
145356	1000	90	illusion_peak
146975	500	82	illusion_start
147379	1000	90	illusion_peak
150010	500	62	sham_start
150415	1000	70	sham_peak
152034	500	82	illusion_start
152439	1000	90	illusion_peak
154563	500	62	sham_start
154968	1000	70	sham_peak
157093	500	62	sham_start
157498	1000	70	sham_peak
160129	500	62	sham_start
160533	1000	70	sham_peak
162152	500	82	illusion_start
162557	1000	90	illusion_peak
164682	500	62	sham_start
165087	1000	70	sham_peak
167212	500	82	illusion_start
167616	1000	90	illusion_peak
169235	500	62	sham_start
169640	1000	70	sham_peak
172271	500	82	illusion_start
172675	1000	90	illusion_peak
175306	500	62	sham_start
175711	1000	70	sham_peak
178342	500	82	illusion_start
178747	1000	90	illusion_peak
180366	500	62	sham_start
180770	1000	70	sham_peak
182389	500	62	sham_start
182794	1000	70	sham_peak
184919	500	82	illusion_start
185324	1000	90	illusion_peak
187448	500	82	illusion_start
187853	1000	90	illusion_peak
