onset	duration	event_value	event_name
9039	500	62	sham_start
9441	1000	70	sham_peak
11051	500	82	illusion_start
11453	1000	90	illusion_peak
13565	500	82	illusion_start
13968	1000	90	illusion_peak
15577	500	82	illusion_start
15979	1000	90	illusion_peak
18594	500	62	sham_start
18997	1000	70	sham_peak
21109	500	62	sham_start
21511	1000	70	sham_peak
24127	500	62	sham_start
24529	1000	70	sham_peak
26641	500	82	illusion_start
27043	1000	90	illusion_peak
29156	500	62	sham_start
29558	1000	70	sham_peak
31167	500	62	sham_start
31570	1000	70	sham_peak
34185	500	82	illusion_start
34587	1000	90	illusion_peak
37202	500	82	illusion_start
37605	1000	90	illusion_peak
39214	500	82	illusion_start
39616	1000	90	illusion_peak
42232	500	82	illusion_start
42634	1000	90	illusion_peak
44746	500	62	sham_start
45148	1000	70	sham_peak
46758	500	82	illusion_start
47160	1000	90	illusion_peak
48769	500	62	sham_start
49172	1000	70	sham_peak
51787	500	62	sham_start
52189	1000	70	sham_peak
54302	500	82	illusion_start
54704	1000	90	illusion_peak
56816	500	62	sham_start
57219	1000	70	sham_peak
58828	500	82	illusion_start
59230	1000	90	illusion_peak
60840	500	62	sham_start
61242	1000	70	sham_peak
63354	500	62	sham_start
63756	1000	70	sham_peak
66372	500	82	illusion_start
66774	1000	90	illusion_peak
69389	500	62	sham_start
69791	1000	70	sham_peak
72407	500	82	illusion_start
72809	1000	90	illusion_peak
74418	500	82	illusion_start
74821	1000	90	illusion_peak
76933	500	82	illusion_start
77335	1000	90	illusion_peak
79950	500	62	sham_start
80353	1000	70	sham_peak
82465	500	62	sham_start
82867	1000	70	sham_peak
84477	500	62	sham_start
84879	1000	70	sham_peak
86488	500	82	illusion_start
86891	1000	90	illusion_peak
89506	500	62	sham_start
89908	1000	70	sham_peak
92020	500	82	illusion_start
92423	1000	90	illusion_peak
94032	500	82	illusion_start
94434	1000	90	illusion_peak
96547	500	62	sham_start
96949	1000	70	sham_peak
99564	500	82	illusion_start
99967	1000	90	illusion_peak
102079	500	62	sham_start
102481	1000	70	sham_peak
104090	500	82	illusion_start
104493	1000	90	illusion_peak
107108	500	62	sham_start
107510	1000	70	sham_peak
110125	500	62	sham_start
110528	1000	70	sham_peak
112640	500	82	illusion_start
113042	1000	90	illusion_peak
114652	500	82	illusion_start
115054	1000	90	illusion_peak
117669	500	82	illusion_start
118072	1000	90	illusion_peak
120184	500	62	sham_start
120586	1000	70	sham_peak
122195	500	62	sham_start
122598	1000	70	sham_peak
125213	500	62	sham_start
125615	1000	70	sham_peak
127728	500	82	illusion_start
128130	1000	90	illusion_peak
129739	500	82	illusion_start
130142	1000	90	illusion_peak
131751	500	82	illusion_start
132153	1000	90	illusion_peak
134768	500	62	sham_start
135171	1000	70	sham_peak
137786	500	82	illusion_start
138188	1000	90	illusion_peak
140300	500	62	sham_start
140703	1000	70	sham_peak
142312	500	62	sham_start
142714	1000	70	sham_peak
144827	500	82	illusion_start
145229	1000	90	illusion_peak
147844	500	82	illusion_start
148247	1000	90	illusion_peak
149856	500	82	illusion_start
150258	1000	90	illusion_peak
152371	500	62	sham_start
152773	1000	70	sham_peak
154382	500	62	sham_start
154785	1000	70	sham_peak
157400	500	62	sham_start
157802	1000	70	sham_peak
159914	500	62	sham_start
160317	1000	70	sham_peak
162429	500	82	illusion_start
162831	1000	90	illusion_peak
164943	500	62	sham_start
165346	1000	70	sham_peak
166955	500	82	illusion_start
167357	1000	90	illusion_peak
168967	500	82	illusion_start
169369	1000	90	illusion_peak
171984	500	62	sham_start
172387	1000	70	sham_peak
175002	500	62	sham_start
175404	1000	70	sham_peak
177013	500	62	sham_start
177416	1000	70	sham_peak
179528	500	82	illusion_start
179930	1000	90	illusion_peak
182546	500	82	illusion_start
182948	1000	90	illusion_peak
185060	500	82	illusion_start
185462	1000	90	illusion_peak
187072	500	62	sham_start
187474	1000	70	sham_peak
